Title,Artist,Position,ID,Year,Tonality,MIC,RIC,Unique Word Ratio
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_1,1961,0.71,0.6513762347405231,0.5841914732414566,0.43
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_2,1961,0.6,0.8578921121573707,0.38775100643601124,0.43
I Fall to Pieces,Patsy Cline and The Jordanaires,2,1961_02_3,1961,0.69,0.7144226020496366,0.3883617940439133,0.43
Michael (Row the Boat Ashore),The Highwaymen,3,1961_03_1,1961,0.77,0.701112913257126,0.31276491031303266,0.31
Michael (Row the Boat Ashore),The Highwaymen,3,1961_03_2,1961,0.83,0.8460534738920953,0.2515399625988903,0.31
Crying,Roy Orbison,4,1961_04_1,1961,0.75,0.6710924669949523,0.3286879575866131,0.54
Crying,Roy Orbison,4,1961_04_2,1961,0.83,0.6404846038654189,0.3420207296575063,0.54
Runaway,Del Shannon,5,1961_05_1,1961,0.7,0.6182225026179378,0.28072509171471016,0.41
Runaway,Del Shannon,5,1961_05_2,1961,0.72,0.5687535360104053,0.4111325908717907,0.41
Stranger on the Shore,Acker Bilk,1,1962_01_1,1962,0.7,0.7889600359513234,0.5331371114826055,0.0
Stranger on the Shore,Acker Bilk,1,1962_01_2,1962,0.75,0.8724394766073699,0.5993132327055389,0.0
Stranger on the Shore,Acker Bilk,1,1962_01_3,1962,0.72,0.7489539461169706,0.5473244088424122,0.0
Stranger on the Shore,Acker Bilk,1,1962_01_4,1962,0.78,0.9717338981346719,0.5088748153071239,0.0
I Can't Stop Loving You,Ray Charles,2,1962_02_1,1962,0.84,0.7568292356068411,0.3586342082771177,0.27
I Can't Stop Loving You,Ray Charles,2,1962_02_2,1962,0.94,0.6499782191136567,0.42878601009191525,0.27
Mashed Potato Time,Dee Dee Sharp,3,1962_03_1,1962,0.76,0.709218280410076,0.18040238085627952,0.4
Mashed Potato Time,Dee Dee Sharp,3,1962_03_2,1962,0.77,0.637846218089594,0.21443698568096153,0.4
Roses Are Red (My Love),Bobby Vinton,4,1962_04_1,1962,0.66,0.8085829005309364,0.4899707036480742,0.42
Roses Are Red (My Love),Bobby Vinton,4,1962_04_2,1962,0.79,0.965614264833547,0.36072075698519984,0.42
Roses Are Red (My Love),Bobby Vinton,4,1962_04_3,1962,0.75,0.7690972552693821,0.6338955842252563,0.42
The Stripper,David Rose,5,1962_05_1,1962,0.55,0.9069232239010412,0.2884559708958833,0.0
